env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,2,137,4.371551036834717
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,3,145,4.613482236862183
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,3,144,4.633662223815918
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,3,150,4.745486736297607
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,3,141,4.461939811706543
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,3,150,4.826550245285034
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,1,100,3.2415611743927
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,1,138,4.414852619171143
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,1,130,4.156591176986694
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,1,103,3.347257375717163
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,1,132,4.351111888885498
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,2,100,3.2725696563720703
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,2,137,4.475192308425903
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,2,137,4.4321441650390625
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,2,103,3.3462324142456055
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,2,138,4.48656702041626
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,3,100,3.266547918319702
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,3,133,4.401873350143433
