env,episode,policy,use_history,history_window,max_steps,model,mock,success,steps,reward,tokens,time,resolved_env,n_episodes_setting
MiniGrid-DoorKey-5x5-v0,2,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,609,17.316202402114868,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,3,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,860,24.61195659637451,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,4,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,1110,31.78484296798706,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,5,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,1410,40.05205941200256,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,6,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,1611,45.724873781204224,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,7,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,1911,54.02422547340393,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,8,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,2161,60.971240282058716,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,9,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,2461,69.27500081062317,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-Empty-8x8-v0,0,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,29,0.8334946632385254,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,1,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,58,1.6513817310333252,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,2,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,87,2.469740867614746,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,3,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,116,3.2886834144592285,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,4,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,145,4.0996644496917725,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,5,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,174,4.9172773361206055,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,6,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,203,5.734539270401001,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,7,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,232,6.549970388412476,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,8,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,261,7.3647780418396,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,9,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,290,8.18044638633728,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,0,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,29,0.8263776302337646,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,1,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,58,1.6436538696289062,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,2,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,87,2.4633731842041016,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,3,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,116,3.2724318504333496,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,4,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,145,4.08258318901062,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,5,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,174,4.89313530921936,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,6,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,203,5.702163934707642,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,7,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,232,6.510676622390747,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,8,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,261,7.327260494232178,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,9,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,True,13,0.954296875,290,8.142234563827515,MiniGrid-Empty-8x8-v0,10
