env,episode,policy,use_history,history_window,max_steps,model,mock,success,steps,reward,tokens,time,resolved_env,n_episodes_setting
MiniGrid-Empty-8x8-v0,3,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,208,11.778147459030151,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,4,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,260,14.618396997451782,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,5,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,312,17.50753927230835,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,6,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,364,20.4064884185791,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,7,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,416,23.420333862304688,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,8,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,468,26.28593897819519,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,9,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,520,29.15521264076233,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,0,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,52,3.055469036102295,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,1,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,104,5.9234442710876465,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,2,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,156,8.792482376098633,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,3,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,208,11.662250518798828,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,4,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,260,14.534859657287598,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,5,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,312,17.399605751037598,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,6,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,364,20.271172761917114,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,7,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,416,23.159759044647217,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,8,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,468,26.02163863182068,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,9,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,520,28.89863395690918,MiniGrid-Empty-8x8-v0,10
