env,episode,policy,use_history,history_window,max_steps,model,mock,buffer_size,success,steps,reward,tokens,time,resolved_env,n_episodes_setting
MiniGrid-BlockedUnlockPickup-v0,1,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,124,4.538081645965576,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,2,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,101,3.702225923538208,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,3,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,137,4.7702484130859375,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,4,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,146,5.043657541275024,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,0,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,117,4.074618101119995,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,1,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,125,4.355871915817261,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,2,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,124,4.296158790588379,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,3,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,101,3.5840914249420166,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,4,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,112,4.059195041656494,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-DoorKey-5x5-v0,0,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,150,5.180243253707886,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,1,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,148,5.105668067932129,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,2,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,150,5.015920400619507,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,3,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,148,5.078782320022583,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,4,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,150,5.028120279312134,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,0,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,150,5.137430906295776,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,1,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,134,4.548002481460571,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,2,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,132,4.574634075164795,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,3,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,134,4.70931339263916,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,4,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,150,5.186183452606201,MiniGrid-DoorKey-5x5-v0,5
